Sample_ID,Object ID,other ID,Genbank ID,AlvarID,Fasta file ID,Fasta_ID_alignment,Long,Lat,Country/Region,Site location,Site ID,Haplogroup,Haplogroup_assigned?,Average_Age_YBP,Date_range,Dating_method,Species,Coverage_depth,Coverage_breadth,calculated_sequence_completeness,Source_publication,metadata_source_or_what_i_put_into_mastersheet,paper link,notes
D_Alaska1_1230,,,,,D_Alaska_1230,D_Alaska1_1230_Uyak_Alaska_c_1230,-153.999,57.638,Alaska,"Uyak, Kodiak Island",,,,1230,,contextual,Canis familiaris,7.8,,0.8615,AmeenPROCB2019,American_dogs_lachie1,https://royalsocietypublishing.org/rspb/article/286/1916/20191929/54591/Specialized-sledge-dogs-accompanied-Inuit,
D_Alaska1_1695,,,,,D_Alaska_1695,D_Alaska1_1695_Uyak_Alaska_c_1695,-153.999,57.638,Alaska,"Uyak, Kodiak Island",,,,1695,,contextual,Canis familiaris,10.3,,0.9232,AmeenPROCB2019,American_dogs_lachie1,https://royalsocietypublishing.org/rspb/article/286/1916/20191929/54591/Specialized-sledge-dogs-accompanied-Inuit,
D_Alaska1_212,,,,USA_CapeEspenberg_c212,D_Alaska_212,D_Alaska1_212_CapeEspenberg_Alaska_c_212_A1b1,-163.6169444,66.5588889,Alaska,"Cape Espenberg, Kotzebue Sound",,A1b1,Y,212,,contextual,Canis familiaris,37.8,,0.9238,AmeenPROCB2019,American_dogs_lachie1,https://royalsocietypublishing.org/rspb/article/286/1916/20191929/54591/Specialized-sledge-dogs-accompanied-Inuit,
D_Alaska1_2200,,,,,D_Alaska_2200,D_Alaska1_2200_Chugachik_Alaska_c_2200,-151.047,59.7432,Alaska,"Chugachik Island, Upper Kachemak Bay, Cook Inlet",,,,2200,,contextual,Canis familiaris,6.4,,0.924,AmeenPROCB2019,American_dogs_lachie1,https://royalsocietypublishing.org/rspb/article/286/1916/20191929/54591/Specialized-sledge-dogs-accompanied-Inuit,
D_Alaska1_25,,,,USA_CapeDyer_c25 ,D_Alaska_25,D_Alaska1_25_Cape_Dyer_Alaska_c_25_A2b5,-161.3558,66.6644,Alaska,"Cape Dyer, North Slope",,A2b5,Y,25,,contextual,Canis familiaris,13.1,,0.9807,AmeenPROCB2019,American_dogs_lachie1,https://royalsocietypublishing.org/rspb/article/286/1916/20191929/54591/Specialized-sledge-dogs-accompanied-Inuit,
D_Alaska1_3763,UAM:ES:28769,,,,D_Alaska_3763,D_Alaska1_3763_TeshekpukLake_Alaska_c_3763,-153.5,70.44,Alaska,Teshekpuk Lake,,,,3763,,contextual,Canis familiaris,,,0.8698, ,"David Stanton, American_dogs_lachie1",,
D_Alaska1_400,,,,USA_CapeEspenberg_c400 ,D_Alaska_400,D_Alaska1_400_CapeEspenberg_Alaska_c_400_A2b5,-163.6169444,66.5588889,Alaska,"Cape Espenberg, Kotzebue Sound",,A2b5,Y,400,,contextual,Canis familiaris,5.9,,0.9523,AmeenPROCB2019,American_dogs_lachie1,https://royalsocietypublishing.org/rspb/article/286/1916/20191929/54591/Specialized-sledge-dogs-accompanied-Inuit,
D_Alaska1_500,L4.6.1,,,,D_Alaska_500,D_Alaska1_500_Nunalleq_USA_c_500,-161.54,59.45,USA,Nunalleq,,,,500,,contextual ,Canis familiaris,12.53,,0.8974,AmeenPROCB2019,American_dogs_lachie1,https://royalsocietypublishing.org/rspb/article/286/1916/20191929/54591/Specialized-sledge-dogs-accompanied-Inuit,
D_Alaska1_620,,,,USA_CapeEspenberg2_c620,D_Alaska_620,D_Alaska1_620_CapeEspenberg_Alaska_c_620_A1b1,-163.6169444,66.5588889,Alaska,"Cape Espenberg, Kotzebue Sound",,A1b1,Y,620,,contextual,Canis familiaris,34.2,,0.8809,AmeenPROCB2019,American_dogs_lachie1,https://royalsocietypublishing.org/rspb/article/286/1916/20191929/54591/Specialized-sledge-dogs-accompanied-Inuit,
D_Alaska1_740,,,,USA_Ahteut_c740 ,D_Alaska_740,D_Alaska1_740_Ahteut_Alaska_c_740_A2b5,-157,67.5,Alaska,"Ahteut, Kobuk River",,A2b5,Y,740,,contextual,Canis familiaris,8.7,,0.8502,AmeenPROCB2019,American_dogs_lachie1,https://royalsocietypublishing.org/rspb/article/286/1916/20191929/54591/Specialized-sledge-dogs-accompanied-Inuit,
D_Alaska1_825,,,,,D_Alaska_825,D_Alaska1_825_CapeEspenberg_Alaska_c_825,-163.6169444,66.5588889,Alaska,"Cape Espenberg, Kotzebue Sound",,,,825,,contextual,Canis familiaris,13.6,,0.924,AmeenPROCB2019,American_dogs_lachie1,https://royalsocietypublishing.org/rspb/article/286/1916/20191929/54591/Specialized-sledge-dogs-accompanied-Inuit,
D_Alaska2_1125,,,,USA_Alaska2_c1125,D_Alaska2_1125,D_Alaska2_1125_Walakpa_Alaska_c_1125_A2a1,-157.0669444,71.1533333,Alaska,"Walakpa, North Slope",,A2a1,Y,1125,,contextual,Canis familiaris,15.7,,0.7462,AmeenPROCB2019,American_dogs_lachie1,https://royalsocietypublishing.org/rspb/article/286/1916/20191929/54591/Specialized-sledge-dogs-accompanied-Inuit,
D_Alaska2_500,L3.15.1,,,,D_Alaska2_500,D_Alaska2_500_Nunalleq_USA_c_500,-161.54,59.45,USA,Nunalleq,,,,500,,contextual,Canis familiaris,5.9,,0.924,AmeenPROCB2019,American_dogs_lachie1,https://royalsocietypublishing.org/rspb/article/286/1916/20191929/54591/Specialized-sledge-dogs-accompanied-Inuit,
D_Alaska2_620,,,,USA_CapeEspenberg_c620 ,D_Alaska2_620,D_Alaska2_620_CapeEspenberg_Alaska_c_620_A2b5,-163.6169444,66.5588889,Alaska,"Cape Espenberg, Kotzebue Sound",,A2b5,Y,620,,contextual,Canis familiaris,7.8,,0.9647,AmeenPROCB2019,American_dogs_lachie1,https://royalsocietypublishing.org/rspb/article/286/1916/20191929/54591/Specialized-sledge-dogs-accompanied-Inuit,
D_Alaska3_500,15125.42.1,"AL2791, USA_Nunalleq2_c500",,USA_Nunalleq2_c500,D_Alaska3_500,D_Alaska3_500_Nunalleq_USA_c_500_A1b1,-161.54,59.45,USA,Nunalleq,,A1b1,Y,500,,contextual,Canis familiaris,16.06,,0.7775,AmeenPROCB2019,American_dogs_lachie1,https://royalsocietypublishing.org/rspb/article/286/1916/20191929/54591/Specialized-sledge-dogs-accompanied-Inuit,
D_Alaska5_500,14021.53.1,AL2794,,,D_Alaska5_500,D_Alaska5_500_Nunalleq_USA_c_500,-161.54,59.45,USA,Nunalleq,,,,500,,contextual,Canis familiaris,6.34,,0.9807,AmeenPROCB2019,American_dogs_lachie1,https://royalsocietypublishing.org/rspb/article/286/1916/20191929/54591/Specialized-sledge-dogs-accompanied-Inuit,
D_AngelMound1_1000,FS3305,D_Indiana1_1000,,USA_AngelMound_c1000,D_AngelMound_1000,D_AngelMound1_1000_AngelMounds_USA_c_1000_A2b2,-87.46,37.94,USA,"Angel Mounds, Indiana",,A2b2,Y,1000,,contextual,Canis familiaris,102.71,,0.9807,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",American_dogs_lachie1,https://www.science.org/doi/10.1126/science.aao4776,
D_AngelMound2_1000,FS3283.33,D_Indiana2_1000,,USA_AngelMound2_c1000 ,D_AngelMound2_1000,D_AngelMound2_1000_AngelMounds_USA_c_1000_A2b4,-87.46,37.94,USA,"Angel Mounds, Indiana",,A2b4,Y,1000,,contextual,Canis familiaris,61.83,,0.9807,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",American_dogs_lachie1,https://www.science.org/doi/10.1126/science.aao4776,
D_AngelMound3_1000,FS3283.22,D_Indiana3_1000,,USA_AngelMound3_c1000,D_AngelMound3_1000,D_AngelMound3_1000_AngelMounds_USA_c_1000_A2b4,-87.46,37.94,USA,"Angel Mounds, Indiana",,A2b4,Y,1000,,contextual,Canis familiaris,47.31,,0.9788,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",American_dogs_lachie1,https://www.science.org/doi/10.1126/science.aao4776,
D_AngelMound4_1000,FS2187,D_Indiana4_1000,,USA_AngelMound4_c1000,D_AngelMound4_1000,D_AngelMound4_1000_AngelMounds_USA_c_1000_A2b,-87.46,37.94,USA,"Angel Mounds, Indiana",,A2b1b,Y,1000,,contextual,Canis familiaris,47.62,,0.9704,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",American_dogs_lachie1,https://www.science.org/doi/10.1126/science.aao4776,
D_Argentina1_1000,,,,Argentina_CerroLutz_c1000 ,D_Argentina_1000,D_Argentina1_1000_CerroLutz_Argentina_c_1000_A2b1a,-56.81,-29.46,Argentina,Cerro Lutz,,A2b1a,Y,1000,,contextual,Canis familiaris,27.8,,0.973,ThalmannScience2013,American_dogs_lachie1,https://pubmed.ncbi.nlm.nih.gov/24233726/,
D_BColumbia2_1500,"D9-985, PRD9",Canada_PrinceRupert2_c1500,,Canada_PrinceRupert2_c150 ,Canada_PrinceRupert2_c1500,D_BColumbia2_1500_PrinceRupert_Canada_c_1500_A2b5,-130.34,54.3,Canada,"Boardwalk, Prince Rupert Harbour, British Columbia",,A2b5,Y,1500,,contextual ,Canis familiaris,127.81,,0.9807,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",Alvar,https://www.science.org/doi/10.1126/science.aao4776,
D_California1_2000,"CA-SRI-2 3941, CISG",USA_ChannelIsland_c2000,,,D_California_2000,D_California1_2000_SantaRosa_USA_c_2000,-120.18,34.01,USA,"Santa Rosa Island, California",,,,2000,,contextual,Canis familiaris,97.66,,0.9623,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",American_dogs_lachie1,https://www.science.org/doi/10.1126/science.aao4776,
D_California1_4000,CAO1,USA_ChannelIsland2_c4000,,USA_ChannelIsland_c4000 ,USA_ChannelIsland2_c4000,D_California1_4000_ChannelIslands_USA_c_4000_A2b3,-119.72,34.05,USA,"Channel Islands, California",,A2b3,Y,4000,,contextual ,Canis familiaris,110.29,,0.9807,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",Alvar,https://www.science.org/doi/10.1126/science.aao4776,
D_California1_5000,CA-SNI-21 133.21-7,USA_ChannelIsland_c5000,,,USA_ChannelIsland_c5000,D_California1_5000_NorthHead_USA_c_5000,-119.57,33.27,USA,"North Head site, San Nicholas Island, California",,,,5000,,contextual ,Canis familiaris,47.1,,0.9806,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",Alvar,https://www.science.org/doi/10.1126/science.aao4776,
D_California1_NA,CA-SNI-21 133.21-A,USA_ChannelIsland2_c5000,,,USA_ChannelIsland2_c5000,D_California1_NA_NorthHead_USA_c_5000,-119.57,33.27,USA,"North Head site, San Nicholas Island, California",,,,5000,,contextual,Canis familiaris,46,,0.9752,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",Alvar,https://www.science.org/doi/10.1126/science.aao4776,
D_California2_4000,CAW2,USA_ChannelIsland3_c4000,,USA_ChannelIsland2_c4000 ,USA_ChannelIsland3_c4000,D_California2_4000_ChannelIslands_USA_c_4000_A2b1b,-119.72,34.05,USA,"Channel Islands, California",,A2b1b,Y,4000,,contextual ,Canis familiaris,62.59,,0.9826,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",Alvar,https://www.science.org/doi/10.1126/science.aao4776,
D_California4_4000,CA-SRI-41,USA_ChannelIsland_c4000,,,USA_ChannelIsland_c4000,D_California4_4000_CanadaVerde_USA_c_4000,-120.13,34.02,USA,"Canada Verde Site, Santa Rosa Island, California",,,,4000,,contextual,Canis familiaris,22.53,,0.9655,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",Alvar,https://www.science.org/doi/10.1126/science.aao4776,
D_Colorado1_1100,5MT23-16,,,USA_GrassMesa_c1250,D_Colorado_1100,D_Colorado1_1100_GrassMesa_USA_c_1100_A2b1b,-107.77,39.47,USA,"Grass Mesa, Colorado",,A2b1b,Y,1100,,contextual,Canis familiaris,39.32,,0.9788,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",American_dogs_lachie1,https://www.science.org/doi/10.1126/science.aao4776,
D_Colorado1_1200,5MT4475-20,,,,D_Colorado_1200,D_Colorado1_1200_McPhee_USA_c_1200,-108.5,37.47,USA,"McPhee Pueblo, Colorado",,,,1200,,contextual,Canis familiaris,5.89,,0.8702,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",American_dogs_lachie1,https://www.science.org/doi/10.1126/science.aao4776,
D_Colorado1_800,5MT5-01,,,USA_YellowJacketPueblo_c900 ,D_Colorado_800,D_Colorado1_800_YellowJacket_USA_c_800_A2b2,-108.71,37.56,USA,"Yellow Jacket Pueblo, Colorado",,A2b2,Y,800,,contextual,Canis familiaris,76.37,,0.9806,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",American_dogs_lachie1,https://www.science.org/doi/10.1126/science.aao4776,
D_Illinois1_1200,11S1232 1671-1,,,USA_JaneyBGoode_c1200 ,D_Illinois_1200,D_Illinois1_1200_JaneyBGoode_USA_c_1200_A2b4,-90.16,38.66,USA,"Janey B. Goode, Illinois",,A2b4,Y,1200,,contextual,Canis familiaris,162.7,,0.9731,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",American_dogs_lachie1,https://www.science.org/doi/10.1126/science.aao4776,
D_Illinois1_8500,,,,USA_Koster_c8500 ,D_Illinois_8500,D_Illinois1_8500_Koster_USA_c_8500_A2b2,-90.55,39.21,USA,Koster,,A2b2,Y,8500,,contextual,Canis familiaris,7.9,,0.9406,ThalmannScience2013,American_dogs_lachie1,https://pubmed.ncbi.nlm.nih.gov/24233726/,
