Sample_ID,Object ID,other ID,Genbank ID,Fasta file ID,Fasta_ID_alignment,Long,Lat,Country/Region,Site location,Site ID,Haplogroup,Haplogroup assigned?,Average_Age_YBP,Date_range,Dating_method,Species,Coverage_depth,Coverage_breadth,calculated_sequence_completeness,Source,metadata_source_or_what_i_put_into_mastersheet,Partial,paper link,notes
USR2,"USR2,KT891990.1",,KT891990.1,KT891990,USR2_Usa_UpwardSunRiver__c_c_11425_B2,-145.71,64.22,USA,Upward Sun River,,B2,Y,11425,9700-9250 BCE,contextual,human,,,0.9993964633,TackneyPNAS2015,,,https://www.pnas.org/doi/full/10.1073/pnas.1511903112#data-availability,
AHUR770c,Spirit Cave,,,AHUR770c,AHUR770c_USA_SpiritCaveNevada_d_10988_D1,-118.719635,39.47330541,USA,"Spirit Cave, Nevada, US",,D1,Y,10988,"9252-8816 calBCE (9645±65 BP, OxA-36201)",direct_radiocarbon_dating,human,,,0.9558211117,MorenoMayarScience2018,,,,
AHUR_2064,Spirit Cave,,,AHUR_2064,AHUR_2064_USA_SpiritCaveNevada_d_10962_D1,-118.719635,39.47330541,USA,"Spirit Cave, Nevada, US",,D1,Y,10962,"9229-8816 calBCE (9615±50 BP, OxA-36200)",direct_radiocarbon_dating,human,,,0.9687971513,MorenoMayarScience2018,,,,
Luzio,,CAP007.A0101,,ERR11770482,Luzio_Brazil_SaoPaulo_d_10423.5_C1d1,-48.597,-24.573,Brazil,Sao Paulo,"Capelinha - Burial 02 (Luzio), Pars Petrosa",C1d1,Y,10423.5,10556-10291,direct_radiocarbon_dating,human,35.401,1.01216,0.9995775243,FerrazNature2023,,,https://www.nature.com/articles/s41559-023-02114-9#Sec25,
Sumidouro5,"SH-04, ZMK1/1845:1511, 3",,,Sumidouro5,Sumidouro5_Brazil_CavernaDoSumidouro_d_10403_D4h3a,-43.951241,-19.548594,Brazil,"Caverna do Sumidouro, Lagoa Santa, Brazil",,D4h3a,Y,10403,"8612-8303 calBCE (9240±50 BP, OxA-X-33335)",direct_radiocarbon_dating,human,,,0.8700585431,MorenoMayarScience2018,,,,
ShukaKaa,Shuka'Kaa,,,aDNAoykc,ShukaKaa_Usa_OnYourKneesCave_Alaska_d_10366_D4h3a12,-133.591667,56.333333,USA,On Your Knees Cave (OYKC) in southeastern Alaska,49-PET-408,D4h3a12,Y,10366,"10,344 ± 83 cal y B.P.",direct_radiocarbon_dating,human,,,1,LindoPNAS2017,,,,
Sumidouro7,"SH-09, ZMK1/1845:1510, 9",,,Sumidouro7,Sumidouro7_Brazil_CavernaDoSumidouro_d_10232_D1,-43.951241,-19.548594,Brazil,"Caverna do Sumidouro, Lagoa Santa, Brazil",,D1,Y,10232,"8422-8222 calBCE (9070±45 BP, OxA-X-2663-56)",direct_radiocarbon_dating,human,,,0.772768423,MorenoMayarScience2018,,,,
Sumidouro4,"SH-16, ZMK1/1845:1510, 8",,,Sumidouro4,Sumidouro4_Brazil_CavernaDoSumidouro_d_10174_D1,-43.951241,-19.548594,Brazil,"Caverna do Sumidouro, Lagoa Santa, Brazil",,D1,Y,10174,"8300-7976 calBCE (9015±45 BP, OxA-33336)",direct_radiocarbon_dating,human,,,0.8056008208,MorenoMayarScience2018,,,,
Sumidouro6,"SH-10, ZMK1/1845:2350",,,Sumidouro6,Sumidouro6_Brazil_CavernaDoSumidouro_d_10124_D1,-43.951241,-19.548594,Brazil,"Caverna do Sumidouro, Lagoa Santa, Brazil",,D1,Y,10124,"8293-7966 calBCE (8990±50 BP, OxA-33337)",direct_radiocarbon_dating,human,,,0.8173094333,MorenoMayarScience2018,,,,
LLP.S2.E1,MW291678,,MW291678,MW291678,LLP.S2.E1_Argentina_LagunaDeLosPampas__d__9998.5_D1j,-63.52763,-37.74461,Argentina,Laguna de los Pampas,,D1j,Y,9998.5,"10,223–9,764 calBP",direct_radiocarbon_dating,human,,,0.9999396463,RocaRadaiScience2021,Xavier Roca-Rada,,https://www.cell.com/iscience/fulltext/S2589-0042(21)00521-6?,
CP19,Lapa01 (Burial 1),Lapa01,,ERR2880949,CP19_Brazil_LapaDoSanto_d_9850_C1d1,-44.03805556,-19.47718333,Brazil,Lapa do Santo,Burial 1 (no sample ID),C1d1,Y,9850,10160-9600,direct_radiocarbon_dating,human,0.744166,0.40391,0.3896433098,PosthCell2018,,,https://pubmed.ncbi.nlm.nih.gov/30415837/,
Sumidouro8,ZMK1/1845:2352,,,Sumidouro8,Sumidouro8_Brazil_CavernaDoSumidouro_d_9816_D4h3a,-43.951241,-19.548594,Brazil,"Caverna do Sumidouro, Lagoa Santa, Brazil",,D4h3a,Y,9816,"8172-7607 calBCE (8785±50 BP, OxA-X-2677-49)",direct_radiocarbon_dating,human,,,0.6864023176,MorenoMayarScience2018,,,,
CP23,Lapa22 (Burial 16),Lapa22,,ERR2880952,CP23_Brazil_LapaDoSanto_c_9650_D4h3a,-44.03805556,-19.47718333,Brazil,Lapa do Santo,,D4h3a,Y,9650,,contextual,human,0.842883,0.46292,0.4404611021,PosthCell2018,,,https://pubmed.ncbi.nlm.nih.gov/30415837/,
CP26,Lapa05 (Burial 4),Lapa05,,ERR2880954,CP26_Brazil_LapaDoSanto_c_9650_A2,-44.03805556,-19.47718333,Brazil,Lapa do Santo,,A2,Y,9650,,contextual,human,0.442822,0.291265,0.2810066993,PosthCell2018,,,https://pubmed.ncbi.nlm.nih.gov/30415837/,
CP25,Lapa15 (Burial 18),Lapa15,,ERR2880953,CP25_Brazil_LapaDoSanto_d_9605_A2,-44.03805556,-19.47718333,Brazil,Lapa do Santo,,A2,Y,9605,9680-9530,direct_radiocarbon_dating,human,1.15376,0.521319,0.5004526525,PosthCell2018,,,https://pubmed.ncbi.nlm.nih.gov/30415837/,
CP22,Lapa25 (Burial 32),Lapa25,,ERR2880951,CP22_Brazil_LapaDoSanto_d_9580_B2,-44.03805556,-19.47718333,Brazil,Lapa do Santo,Lapa25 (Burial 32),B2,Y,9580,9670-9490,direct_radiocarbon_dating,human,1.42334,0.682651,0.4522904219,PosthCell2018,,,https://pubmed.ncbi.nlm.nih.gov/30415837/,
I13268,UNM 1015 (MHCP.17.1.8),,,I13268.AG,I13268_Belize_MayahakCabPek_d_9534_C1b,-88.90496,16.497398,Belize,"Mayahak Cab Pek (Toledo District, Maya Mountains, Bladen Nature Reserve)",,C1b,Y,9534,"7711-7523 calBCE (8565±45 BP, PSUAMS-4290)",direct_radiocarbon_dating,human,14.932525,,0.9904037661,KennettLipsonPruferNatureCommunications2022,harvard,,doi:10.1038/s41467-022-29158-y,
CP18,Lapa14 (Burial 15),Lapa14,,ERR2880948,CP18_Brazil_LapaDoSanto_d_9510_A2,-44.03805556,-19.47718333,Brazil,Lapa do Santo,Lapa 13 (Burial 15),A2,Y,9510,9550-9470,direct_radiocarbon_dating,human,1.44869,0.553085,0.5306898425,PosthCell2018,,,https://pubmed.ncbi.nlm.nih.gov/30415837/,
I3443,MHCP.14.1.6,,,I3443.AG,I3443_Belize_MayahakCabPek_d_9301_D4h3a,-88.90496,16.497398,Belize,"Mayahak Cab Pek (Toledo District, Maya Mountains, Bladen Nature Reserve)",,D4h3a,Y,9301,"7472-7192 calBCE (8290±25 BP) [R_combine: (8310±35 BP, UCIAMS-151854), (8270±35 BP, UCIAMS-151855)]",direct_radiocarbon_dating,human,16.428692,,0.9901623514,PosthNakatsukaCell2018,harvard,,doi:10.1016/j.cell.2018.10.027,
CP21,Lapa24 (Burial 30),Lapa24,,ERR2880950,CP21_Brazil_LapaDoSanto_d_9250_B2,-44.03805556,-19.47718333,Brazil,Lapa do Santo,Lapa24 (Burial 30),B2,Y,9250,9410-9090,direct_radiocarbon_dating,human,1.99255,0.754551,0.539441125,PosthCell2018,,,https://pubmed.ncbi.nlm.nih.gov/30415837/,
Pains 19,,PAI001.A0101,,ERR11770511,Pains 19_Brazil_MinasGerais_d_9130_C4c,-44.25,-19.45,Brazil,Minas Gerais,"Loca do Suin - Burial 01C #19, Pars Petrosa",C4c,Y,9130,9264-8996,direct_radiocarbon_dating,human,26.8433,1.01216,1.000060354,FerrazNature2023,,,https://www.nature.com/articles/s41559-023-02114-9#Sec25,
CP29,Cuncaicha 15-07,Cuncaicha15-07,,ERR2880955,CP29_Peru_Cuncaicha_d_9005_A2ao,-72.60822222,-15.38936111,Peru,"Cuncaicha, Highlands",,A2ao,Y,9005,9240-8770,direct_radiocarbon_dating,human,4.52089,0.964447,0.71175086,PosthCell2018,,,https://pubmed.ncbi.nlm.nih.gov/30415837/,
TrailCreek,Trail Creek,,,TrailCreek,TrailCreek_Usa_TrailCreekCave_d_9005_B2*,-163.41,65.79,USA,"Trail Creek Cave, Alaska, US",,B2*,Y,9005,"7181-6829 calBCE (8085±40 BP, OxA-37281)",direct_radiocarbon_dating,human,,,0.8872593397,MorenoMayarScience2018,,,,
I19170,UNM 1424 (MHCP.17.1.1b),,,I19170.AG,I19170_Belize_MayahakCabPek_c_8775_D4h3a5,-88.90496,16.497398,Belize,"Mayahak Cab Pek (Toledo District, Maya Mountains, Bladen Nature Reserve)",,D4h3a5,Y,8775,7050-6600 BCE,contextual,human,9.81743,,0.9791176293,KennettLipsonPruferNatureCommunications2022,harvard,,doi:10.1038/s41467-022-29158-y,
kennewick,Kennewick Man,,,kennewick,kennewick_USA_Washington__d_8752_X2a,-119.1361111,46.2113889,USA,,,X2a,Y,8752,"7250-6390 calBCE (8410±60 BP, UCR3476/CAMS-29578)",direct_radiocarbon_dating,human,33.3684,0.897434,0.8850262538,FerrazNature2023,,,https://www.nature.com/articles/nature14625,"Direct (Warning TO CHECK RELIABILITY OF MARINE CALIBRATION AND TO FORMALIZE THE DESCRIPTION OF THE METHODOLOGY): 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020), after applying Taylor 1998 Marine Reservoir correction to 7880±160 BP"
I19169,UNM 1423 (MHCP.17.1.1c),,,I19169.AG,I19169_Belize_MayahakCabPek_d_8735_D4h3a5,-88.90496,16.497398,Belize,"Mayahak Cab Pek (Toledo District, Maya Mountains, Bladen Nature Reserve)",,D4h3a5,Y,8735,"7031-6646 calBCE (7900±35 BP, PSUAMS-4800)",direct_radiocarbon_dating,human,9.311666,,0.9802643491,KennettLipsonPruferNatureCommunications2022,harvard,,doi:10.1038/s41467-022-29158-y,
I2230,SC13_L295_AS2_36,,,I2230.AG,I2230_Argentina_ArroyoSecoIi_d_8670_C1b,-60.2441667,-38.3605556,Argentina,Arroyo Seco II,,C1b,Y,8670,"7026-6433 calBCE (7805±85 BP, AA-106014)",direct_radiocarbon_dating,human,242.28324,,0.999818939,PosthCell2018,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
KP300794,Lau5SA7,I0041,KP300794,KP300794,KP300794_Peru_Lauricocha__d__8650_B2ab,-76.7352198,-10.0761171,Peru,Lauricocha,,B2ab,Y,8650,"6640-6470 calBCE (7760±31 BP, MAMS-14731)",direct_radiocarbon_dating,human,66.76,,0.9975254994,Fehren-Schmitz et al. 2015,Lars Fehren-Schmitz2,,,Direct (Warning MANUALLY CALIBRATED SHCAL13): By Thomas Harper
I0038,LAU1,,,I0038.AG,I0038_Peru_Lauricocha_d_8625_A2+(64)+16129,-76.666667,-10.3222,Peru,"Lauricocha (Antacolpa, Highlands)",,A2+(64)+16129,Y,8625,"6780-6570 calBCE (7870±30 BP, MAMS-14391)",direct_radiocarbon_dating,human,143.49484,,0.999818939,PosthNakatsukaCell2018,harvard,,,
KP300790,Lau1SA1,,KP300790,KP300790,KP300790_Peru_Lauricocha__c_c_8536_A2as,-76.7352198,-10.0761171,Peru,Lauricocha,,A2as,Y,8536,7000-6000 BCE,contextual,human,292.84,,0.999818939,Fehren-Schmitz et al. 2015,Lars Fehren-Schmitz2,,,
I0041,LAU5,,,I0041.AG,I0041_Peru_Lauricocha_d_8505_B2,-76.666667,-10.3222,Peru,"Lauricocha (Antacolpa, Highlands)",,B2,Y,8505,"6640-6470 calBCE (7760±31 BP, MAMS-14731)",direct_radiocarbon_dating,human,15.735772,,0.9985515119,PosthNakatsukaCell2018,harvard,,,
I0238,LAU2,,,I0238.AG,I0238_Peru_Lauricocha_c_8450_A2,-76.666667,-10.3222,Peru,"Lauricocha (Antacolpa, Highlands)",,A2,Y,8450,7000-6000 BCE,contextual,human,10.8,,0.9995171706,PosthNakatsukaCell2018,harvard,,,
KP300791.1,"LAU2, LAU2_Skeleton8, HMS_Lauricocha_Ind8, KP300791.1",I0238,KP300791.1,KP300791,KP300791.1_Peru_Lauricocha__c__8450_A2,-76.6666667,-10.3222,Peru,"Lauricocha, Highlands",,A2,Y,8450,7000-6000 BCE,contextual,human,323.83,,0.999818939,LlamasSciAdv2016,Bastien Llamas,,,
ASO_B13_S20,MW291667,,MW291667,MW291667,ASO_B13_S20__c_Argentina_ArroyoSeco2__8366.5_C1c,-60.6021243,-33.1796101,Argentina,Arroyo Seco 2,,C1c,Y,8366.5,"8,545–8,188 calBP",contextual,human,,,0.9997585853,RocaRadaiScience2021,Xavier Roca-Rada,,https://www.cell.com/iscience/fulltext/S2589-0042(21)00521-6?,
ASO_B24_S31,MW291669,,MW291669,MW291669,ASO_B24_S31__d_Argentina_ArroyoSeco2__8366.5_C1b+16311,-60.6021243,-33.1796101,Argentina,Arroyo Seco 2,,C1b+16311,Y,8366.5,"7,970–7,673 calBP",direct_radiocarbon_dating,human,,,0.999637878,RocaRadaiScience2021,Xavier Roca-Rada,,https://www.cell.com/iscience/fulltext/S2589-0042(21)00521-6?,
I2232,SC7_L204_AS2_49,,,I2232.AG,I2232_Argentina_ArroyoSecoIi_d_8360_C1b,-60.2441667,-38.3605556,Argentina,Arroyo Seco II,,C1b,Y,8360,"6570-6252 calBCE (7612±53 BP, AA-106013)",direct_radiocarbon_dating,human,35.70819,,0.9993964633,PosthCell2018,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
I2710,3805 (CA-SRI-3),I2710.AG,,gid-I2710.AG.BY__mid-I2710,I2710_USA_Ca-sri-3_California_d_7823_A2,-120.18487,34.004782,USA,"CA-SRI-3 (California, Santa Rosa Island, Tecolote Point)",,A2,Y,7823,"5982-5755 calBCE (6990±40 BP, Poz-83503)",direct_radiocarbon_dating,human,167,,0.999818939,NakatsukaNature2023,harvard2,,doi:10.1038/s41586-023-06771-5,
ASO_B3_S7,MW291671,,MW291671,MW291671,ASO_B3_S7__c_Argentina_ArroyoSeco2__7821.5_C1b,-60.6021243,-33.1796101,Argentina,Arroyo Seco 2,,C1b,Y,7821.5,"7,920–7,660 calBP",contextual,human,,,0.9997585853,RocaRadaiScience2021,Xavier Roca-Rada,,https://www.cell.com/iscience/fulltext/S2589-0042(21)00521-6?,
ASO_B10_S17,MW291673,,MW291673,MW291673,ASO_B10_S17__c_Argentina_ArroyoSeco2__7790_C1b,-60.6021243,-33.1796101,Argentina,Arroyo Seco 2,,C1b,Y,7790,"7,570–7,290 calBP",contextual,human,,,0.9997585853,RocaRadaiScience2021,Xavier Roca-Rada,,https://www.cell.com/iscience/fulltext/S2589-0042(21)00521-6?,
I7086,AS15,,,I7086.AG,I7086_Argentina_ArroyoSecoIi_d_7789_D1g,-60.2441667,-38.3605556,Argentina,Arroyo Seco II,,D1g,Y,7789,"5971-5718 calBCE (6959±43) [R_combine: (7000±80 BP, TO-1503), (6970±60 BP, CAMS-16170), (6880±90 BP, NZA-1101)]",direct_radiocarbon_dating,human,6.15,,0.9826181423,PosthCell2018,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
S0309,B9S14,,KU523349,KU523349,S0309_Argentina_ArroyoSeco2__d__7755_D1,-60.6021243,-33.1796101,Argentina,Arroyo Seco 2,,D1,Y,7755,7928-7581 calBP,direct_radiocarbon_dating,human,19.1,,1.000060354,LlamasSciAdv2016,Bastien Llamas 2016,,,
S0352,B2S19,,KU523269,KU523269,S0352_Argentina_ArroyoSeco2__d__7755_A2,-60.6021243,-33.1796101,Argentina,Arroyo Seco 2,,A2,Y,7755,7928-7581 calBP,direct_radiocarbon_dating,human,21.7,,0.9998792927,LlamasSciAdv2016,Bastien Llamas 2016,,,
L'Anse Amour,NP239,,MF588867,MF588867,L'Anse Amour_Canada_Newfoundland__d__7714_C1c,-56.87,51.4739,Canada,Newfoundland,"L'Anse Amour Burial, EiBf-4",C1c,Y,7714,93.5% 7868-7570 1.5% 7919-7900,direct_radiocarbon_dating,human,29X,,0.9992757559,DugganCurrBiol2017,Ana Duggan,,https://www.cell.com/current-biology/fulltext/S0960-9822(17)31091-6?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0960982217310916%3Fshowall%3Dtrue,
I2712,NA-CA-131.3A-12-16,I2712.AG,,gid-I2712.AG.BY__mid-I2712,I2712_USA_Ca-sri-3_California_d_7698_A2,-120.18487,34.004782,USA,"CA-SRI-3 (California, Santa Rosa Island, Tecolote Point)",,A2,Y,7698,"5835-5667 calBCE (6865±35 BP, Poz-83504)",direct_radiocarbon_dating,human,202,,0.9984308045,NakatsukaNature2023,harvard2,,doi:10.1038/s41586-023-06771-5,
I0309,ASOB9S14a,,,I0309.AG,I0309_Argentina_ArroyoSecoIi_d_7650_D1,-60.2441667,-38.3605556,Argentina,Arroyo Seco II,,D1 (Llamas et al 2016),Y,7650,"5881-5561 calBCE (6838±73 BP, AA-67738)",direct_radiocarbon_dating,human,179,,0.9998792927,LlamasSciAdv2016,harvard,,,
I11557,NA-CA-131.3A-12-2,,,I11557.AG,I11557_USA_Ca-sri-3_California_d_7630_A2,-120.18487,34.004782,USA,"CA-SRI-3 (California, Santa Rosa Island, Tecolote Point)",,A2,Y,7630,"5726-5631 calBCE (6785±30 BP, PSUAMS-5726)",direct_radiocarbon_dating,human,248,,0.9998792927,NakatsukaNature2023,harvard,,,
I11558,NA-CA-131.3A-12-9,,,I11558.AG,I11558_USA_Ca-sri-3_California_d_7627_A2,-120.18487,34.004782,USA,"CA-SRI-3 (California, Santa Rosa Island, Tecolote Point)",,A2,Y,7627,"5724-5631 calBCE (6780±30 BP, PSUAMS-5727)",direct_radiocarbon_dating,human,238.8,,0.9999396463,NakatsukaNature2023,harvard,,,
ASO_B2_S5,MW291665,,MW291665,MW291665,ASO_B2_S5__d_Argentina_ArroyoSeco2__7430_A2,-60.6021243,-33.1796101,Argentina,Arroyo Seco 2,,A2,Y,7430,"8,545–8,188 calBP",direct_radiocarbon_dating,human,,,0.9998792927,RocaRadaiScience2021,Xavier Roca-Rada,,https://www.cell.com/iscience/fulltext/S2589-0042(21)00521-6?,
I0308,ASO_B12_S19 (previously named ASO_B2_S6(9)+ASO_B2_S19),,,I0308.AG,I0308_Argentina_ArroyoSecoIi_d_7430_A2+(64),-60.2441667,-38.3605556,Argentina,Arroyo Seco II,,A2+(64),Y,7430,"5620-5336 calBCE (6560±60 BP, LP-186)",direct_radiocarbon_dating,human,91.984549,,0.9996982316,LlamasSciAdv2016,harvard,,,
I7088,AS6,,,I7088.AG,I7088_Argentina_ArroyoSecoIi_d_7428_A2,-60.2441667,-38.3605556,Argentina,Arroyo Seco II,,A2,Y,7428,"5620-5336 calBCE (6560±60 BP, LP-186)",direct_radiocarbon_dating,human,4.02,,0.9675900779,PosthCell2018,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
I5457,ST.16.1.2,,,I5457.AG,I5457_Belize_SakiTzul_d_7376_D1,-88.875258,16.515784,Belize,"Saki Tzul (Toledo District, Maya Mountains, Bladen Nature Reserve)",,D1,Y,7376,"5513-5372 calBCE (6485±30 BP, PSUAMS-3206)",direct_radiocarbon_dating,human,29.8,,0.9974651458,PosthNakatsukaCell2018,harvard,,doi:10.1016/j.cell.2018.10.027,
I2711,4040.1 (CA-SRI-3),I2711.AG,,gid-I2711.AG.BY__mid-I2711,I2711_USA_Ca-sri-3_California_d_7369_A2,-120.18487,34.004782,USA,"CA-SRI-3 (California, Santa Rosa Island, Tecolote Point)",,A2,Y,7369,"5477-5372 calBCE (6455±25 BP, PSUAMS-2153)",direct_radiocarbon_dating,human,104,,0.999818939,NakatsukaNature2023,harvard2,,doi:10.1038/s41586-023-06771-5,
I5456,ST.16.1.3,,,I5456.AG,I5456_Belize_SakiTzul_d_7368_D1,-88.875258,16.515784,Belize,"Saki Tzul (Toledo District, Maya Mountains, Bladen Nature Reserve)",,D1,Y,7368,"5479-5419 calBCE (6455±30 BP, PSUAMS-3205)",direct_radiocarbon_dating,human,31.7,,0.9993964633,PosthNakatsukaCell2018,harvard,,doi:10.1016/j.cell.2018.10.027,
SA5832,SA5832,,,SA5832,SA5832_Chile__d_7292.5_,-73.86,-53.14,Chile,,,,N,7292.5,5634-5051 calBCE,direct_radiocarbon_dating,human,,,0.8983040618,MorenoMayarScience2018,,,,"Direct (Warning MISSING LAB CODE, MISSING UNCALIBRATED DATE, NEED TO CHANGE TO INTCAL20): IntCal13"
I1748,ASOB1S3a,,,I1748.AG,I1748_Argentina_ArroyoSecoIi_d_7180_C1c,-60.2441667,-38.3605556,Argentina,Arroyo Seco II,,C1c,Y,7180,"5462-5014 calBCE (6300±70 BP, AA-7966)",direct_radiocarbon_dating,human,4.37,,0.9513549399,PosthCell2018,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
I7090,FCS AS2 10497 + FCS AS2 10498,,,I7090.AG,I7090_Argentina_ArroyoSecoIi_d_7162_C1c,-60.2441667,-38.3605556,Argentina,Arroyo Seco II,,C1c,Y,7162,"5462-5014 calBCE (6300±70 BP, AA-7966)",direct_radiocarbon_dating,human,15.592613,,0.9980686825,PosthCell2018,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
ASO_B1_S1,MW291662,,MW291662,MW291662,ASO_B1_S1__c_Argentina_ArroyoSeco2__7140_C1c,-60.6021243,-33.1796101,Argentina,Arroyo Seco 2,,C1c,Y,7140,"7,330–6,950 calBP",contextual,human,,,0.999818939,RocaRadaiScience2021,Xavier Roca-Rada,,https://www.cell.com/iscience/fulltext/S2589-0042(21)00521-6?,
I11290,NA-CA-7-12-11,,,I11290.AG,I11290_USA_Ca-sba-7_California_c_7075_A2+(64),-119.51232,34.385844,USA,"CA-SBA-7 (California, Carpinteria, Mishopshnow)",,A2+(64),Y,7075,5250-5000 BCE,contextual,human,14.07,,0.9963787796,NakatsukaNature2023,harvard,,,
